id_localidad,nombre,id_departamento
212,MALVINAS ARGENTINAS,6028
213,GLEW,6028
214,LONGCHAMPS,6028
215,DON ORIONE,6028
216,SAN FRANCISCO SOLANO,6028
217,BELL VILLE,14182
218,COLONIA COMPIANI,14182
219,CALETA OLIVIA,78014
220,NUEVA VIZCAYA,30035
221,TORTUGUITAS,6412
222,DEL VISO,6412
223,JOSE C. PAZ,6412
224,GARZA,86182
225,LA VIGIA,6686
226,LA VUELTA,6686
227,ROBERTO CANO,6686
228,SANTA FELISA,6686
229,LA SOLEDAD,6686
230,LA CALDERA,6686
231,LOS INDIOS,6686
232,LA CONCEPCION,6686
233,LA ROJERA,6686
234,LA BEBA,6686
235,BARRIO LAS MARGARITAS,6686
236,LAS CARABELAS,6686
237,LAS POLVAREDAS,6686
238,LA VUELTA CHICA,6686
239,HUNTER,6686
240,VILLA MANUEL POMAR,6686
241,LA TIGRA,6686
242,ROJAS,6686
243,ESTACION SOL DE MAYO,6686
244,RAFAEL OBLIGADO,6686
245,VILLA PARQUE CECIR,6686
246,LA VERDE,6686
247,SAN BASILIO,6686
248,VILLA GENERAL MITRE,86007
249,SAN ROQUE,14007
250,CERRO PELADO,14007
251,AMBOY,14007
252,FLORIDA NEGRA,78042
253,BELLA VISTA,78042
254,EL SALADO,78042
255,SUARDI,82091
256,COLONIA SAN JOSE,38094
257,ALONSO,38094
258,VOLCAN DE YACORAITE,38094
259,YACORAITE,38094
260,HUACALERA,38094
261,LA TOMA,74021
262,MAQUINCHAO,62091
263,CALLE ANGOSTA,6301
264,NEWTON,6301
265,SAN MARTIN,6301
266,CHAS,6301
267,GENERAL BELGRANO,6301
268,LA VERDE,6301
269,GORCHS,6301
270,EL DESCANSO,6301
271,COLONIA EL SALADO,6301
272,LAVALLE,18091
273,PUERTO VIEJO,18091
274,LA LOMA,18091
275,RINCON DE SANTA LUCIA,18091
276,RINCON DE SOTO,18091
277,ENRIQUE URIEN,22098
278,LA VIRUELA,22098
279,LA MANUELA,22098
280,LA CARLOTA,22098
281,CAMPO COLLA,82070
282,LAS HIGUERITAS,82070
283,CORONEL RODRIGUEZ,82070
284,SANTA CLARA DE BUENA VISTA,82070
285,EL MOJON,14112
286,EL GUANACO,14112
287,LA MAZA,14112
288,SANTA CATALINA,14112
289,LA PIEDRA BLANCA,14112
290,AGUA DE ORO,14112
291,POZO DE MOLINA,14112
292,POZO DEL SIMBOL,14112
293,EL JORDAN,14112
294,LA BARRANCA,14112
295,POZO DE LAS OLLAS,14112
296,PUNTA DEL MONTE,14112
297,LA VICTORIA,14112
298,SAN MIGUEL,14112
299,ALTO DE FIERRO,14112
300,SANTA ISABEL,14112
301,LA PENCA,14112
302,SAN ANTONIO,14112
303,LA VICTORIA OESTE,14112
304,CAMPO GRANDE,14112
305,LA VICTORIA (E),14112
306,3 DE MAYO,54077
307,GARUHAPE,54077
308,SAN MIGUEL,54077
309,PUERTO GARUHAPE,54077
310,SALSACATE,14077
311,VILLA VISO,14077
312,CASA BLANCA,14077
313,TANINGA,14077
314,PUEBLO VIEJO,14182
315,SAN EUSEBIO,14182
316,LAS LAGUNITAS,14182
317,LA TIGRA,14182
318,COLONIA LA VERDE,14182
319,COLONIA MARCOS SASTRE,14182
320,CAMPO LOS CORRALITOS,14182
321,COLONIA EL DORADO,14182
322,CAMPO LOS ALGARROBOS,14182
323,COLONIA LA CONCORDIA,14182
324,SAN MELITON,14182
325,CAYUQUEO,14182
326,CAMPO COSTA,14182
327,COLONIA LA UNION,14182
328,LA HERRADURA,14182
329,SAN SEVERO,14182
330,CAMPO SANTA RITA,14182
331,COLONIA 10 DE MAYO,14182
332,COLONIA EL BALQUIN,14182
333,COLONIA EL PIQUILLIN,14182
334,COLONIA CORRAL DEL BAJO,14182
335,CAMPO LAS CHACRAS,14182
336,CUATRO CAMINOS,14182
337,POTRO MUERTO,14182
338,EL UCLE,14182
339,CORRAL DEL BAJO,14182
340,CAMPO VIONNET,14182
341,COLONIA PICO CHACO,14182
342,RAMON J. CARCANO,14182
343,COLONIA LA LOLA,14182
344,COLONIA LA CELINA,14182
345,COLONIA EL DESCANSO,14182
346,CNIA NORTE,14182
347,COLONIA ESPERANZA,14182
348,COLONIA CORRAL DE GUARDIA,14182
349,CAMPO SANTA ELENA,14182
350,COLONIA LA LEONCITA,14182
351,CAMPO SAN ELIAS,14182
352,CAMPO LA LUISITA,14182
353,CAMPO LOS GALGOS,14182
354,CAMPO CRESPO-P/BALLESTERS,14182
355,CAMPO YANZI,14182
356,COLONIA SANTA RITA,14182
357,LUCA,14042
358,ENRIQUE CARBO,30056
359,ALARCON,30056
360,GENERAL RACEDO,30021
361,CARCEL,38098
362,PUNTA CORRAL,38098
363,COIRURO,38098
364,AGUA BENDITA,38098
365,TUMBAYA,38098
366,TUMBAYA GRANDE,38098
367,LEONES,14063
368,EL PALMAR,22063
369,GUEMES,22063
370,LA ARMONIA,22063
371,EL QUEBRACHO,22063
372,LOTE 126,22063
373,EL DESCANSO,22063
374,LA GRINGA,22063
375,LOS CIENAGOS,22063
376,4 DE FEBRERO,22063
377,LOS PEREYRAS,22063
378,TORRE DEL MIRADOR,22063
379,MONTE CASEROS,22063
380,POZO EL ZAPALLAR,22063
381,EL MOJO,22063
382,CRUCE PEÑALOZA,22063
383,LAS MARGARITAS,22063
384,ROSALES,22063
385,CENTRAL NORTE,22063
386,POZO DE LA PAVA,22063
387,LAS CUATRO BOCAS,22063
388,EL MILAGRO,22063
389,LOS PLACERES,22063
390,POZO DE LA MULA,22063
391,MANANTIALES,22063
392,LA ESMERALDA,22063
393,POZO DEL NEGRO,22063
394,BALBUENA,22063
395,MIRAFLORES,22063
396,EL RETIRO,22063
397,CAMPO LA CHINA,22063
398,LA MEDIA LUNA,22063
399,1° DE MAYO,22063
400,PASO DE LA CRUZ,22063
401,LOTE 76,22063
402,SANTA VICTORIA,22063
403,PALO MARCADO,22063
404,TECHAT,22063
405,LOTE 71,22063
406,LAS PUERTAS,22063
407,POZO LA GRINGA,22063
408,EL CAÑON,22063
409,LAS HACHERAS,22063
410,LOS QUIRQUINCHOS,22063
411,YAPEYU,22063
412,LA CHEOGUE,22063
413,NUEVA UNION,22063
414,BAJADA ALTA,22063
415,EL ALGARROBO,22063
416,BAJO HONDO,22063
417,EL QUEBRACHO BALEADO,22063
418,SAN LORENZO,22063
419,LOS ROSALES,22063
420,LAS CHACRAS,14021
421,EL VERGEL,14021
422,ESTACION COLONIA TIROLESA,14021
423,EL QUEBRACHAL,14021
424,COLONIA LOS ALGARROBOS,14021
425,LA CORINA,14021
426,COLONIA RIO CHICO,14021
427,COLONIA TIROLESA,14021
428,SANTA ELENA,14021
429,LA PUERTA,14021
430,LAS AVISPAS,82091
431,LABORDEBOY,82042
432,GENERAL GELLY,82028
433,CAMPO FONDATO,82028
434,CAMPO GHIANO,82126
435,CAMPO ULLA,82126
436,EL TREBOL,82126
437,CAMPO RIBERI,82126
438,POTRERILLOS,66084
439,EL JARDIN,66084
440,LOZADA,14147
441,SALSIPUEDES,14021
442,LA ESTANCITA,14021
443,EL PUEBLITO,14021
444,LA JAULA,50091
445,CAPIZ,50091
446,SAN CARLOS,50091
447,PAREDITAS,50091
448,CHILECITO,50091
449,EL PARRAL,50091
450,PIEDRAS BLANCAS,50091
451,TRES ESQUINAS,50091
452,LA CONSULTA,50091
453,BARRIO EL CEPILLO,50091
454,PASO DE LAS CARRETAS,50091
455,EUGENIO BUSTOS,50091
456,EL CAPACHO,50091
457,BARRIO CARRASCO,50091
458,LOS ALAMITOS,50091
459,VILLA EL CHACON,50091
460,CAMPAMENTO VILLEGAS,26042
461,SANTA TERESA,82028
462,FRANCISCO PAZ,82028
463,CHACHARRAMENDI,42154
464,VALLE DAZA,42154
465,BARRIO CHIVILCOY,50098
466,EL DIVISADERO,50098
467,BUEN ORDEN,50098
468,MONTECASEROS,50098
469,BARRIO LA ESTACION,50098
470,CHAPANAY,50098
471,BARRIO NTRA. SRA. DE FATIMA,50098
472,TRES PORTEÑAS,50098
473,CHIVILCOY,50098
474,BARRIO LOS CHARABONES,50098
475,ALTO VERDE,50098
476,CIUDAD DE SAN MARTIN,50098
477,EL RAMBLON,50098
478,BARRIO EMANUEL,50098
479,VILLA CENTENARIO,50098
480,EL ESPINO,50098
481,PALMIRA,50098
482,NUEVA CALIFORNIA,50098
483,TRES ESQUINAS,50098
484,ALTO SALVADOR,50098
485,COLONIA LAMBARE,50098
486,EL RINCON,26014
487,EL BLANCO,26014
488,EL CAJON,26014
489,CHOLILA,26014
490,VILLA LAGO RIVADAVIA,26014
491,LA PUERTA,14105
492,PINTOS,14091
493,EL ROSARIO,14091
494,LA CUMBRE,14091
495,VILLA TERCERA,90014
496,EX INGENIO LOS RALOS,90014
497,LAS MERCEDES,90014
498,VILLA RECASTE,90014
499,CAMPO LA FLOR,90014
500,RUTA 5 KM 132,6784
501,SUIPACHA,6784
502,GENERAL RIVAS,6784
503,LOS CARDALES,6784
504,CUARTEL VIII,6784
